,Alanine,"Alcohol, ethyl",Amino acids,Arginine,Ash,Aspartic acid,Betaine,Caffeine,"Calcium, Ca","Carbohydrate, by difference",Carbohydrates,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total","Copper, Cu","Cryptoxanthin, beta",Cystine,Energy,Energy (Atwater General Factors),Energy (Atwater Specific Factors),"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Fructose,Galactose,Glucose,Glutamic acid,Glycine,Histidine,Hydroxyproline,"Iron, Fe",Isoleucine,Lactose,Leucine,Lipids,Lutein + zeaxanthin,Lycopene,Lysine,MUFA 14:1,MUFA 15:1,MUFA 16:1,MUFA 16:1 c,MUFA 17:1,MUFA 18:1,MUFA 18:1 c,MUFA 20:1,MUFA 22:1,MUFA 22:1 c,MUFA 24:1 c,"Magnesium, Mg",Maltose,"Manganese, Mn",Methionine,Minerals,Niacin,Nitrogen,PUFA 18:2,PUFA 18:2 CLAs,"PUFA 18:2 n-6 c,c",PUFA 18:3,"PUFA 18:3 n-3 c,c,c (ALA)","PUFA 18:3 n-6 c,c,c",PUFA 18:3i,PUFA 18:4,"PUFA 20:2 n-6 c,c",PUFA 20:3,PUFA 20:3 n-3,PUFA 20:3 n-6,PUFA 20:4,PUFA 20:4 n-6,PUFA 20:5 n-3 (EPA),PUFA 22:4,PUFA 22:5 n-3 (DPA),PUFA 22:6 n-3 (DHA),Pantothenic acid,Phenylalanine,"Phosphorus, P",Phytosterols,"Potassium, K",Proline,Protein,Proximates,Retinol,Riboflavin,SFA 10:0,SFA 12:0,SFA 14:0,SFA 15:0,SFA 16:0,SFA 17:0,SFA 18:0,SFA 20:0,SFA 22:0,SFA 24:0,SFA 4:0,SFA 6:0,SFA 8:0,"Selenium, Se",Serine,"Sodium, Na",Starch,Sucrose,"Sugars, Total","Sugars, added",TFA 16:1 t,TFA 18:1 t,TFA 18:2 t not further defined,"TFA 18:2 t,t",TFA 22:1 t,Theobromine,Thiamin,Threonine,"Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma",Total Sugars,Total lipid (fat),Tryptophan,Tyrosine,Valine,"Vitamin A, IU","Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),Vitamins and Other Components,Water,"Zinc, Zn"
Fish--smoked,,0.0,,,,,,0.0,49.0,0.0,,0.0,0.0,77.0,92.3,0.042,0.0,,116.0,,,0.157,0.321,0.173,,,,0.0,15.0,15.0,15.0,0.0,,,,,,,,1.4,,,,,0.0,0.0,,,,0.023,,,0.089,,0.013,0.031,,,54.0,,,,,5.07,,0.012,,,0.003,,,,0.004,,,,,0.031,,0.079,,0.025,0.168,,,251.0,,415.0,,25.2,,24.0,0.049,0.0,0.0,0.011,,0.117,,0.044,,,,0.0,0.0,0.0,42.9,,763.0,,,,,,,,,,0.0,0.047,,,,,,,,,0.0,0.96,,,,,24.0,1.6,0.0,0.4,0.0,0.8,,,,0.55,0.0,,,0.1,,71.5,0.5
Millet,,0.0,,,,,,0.0,3.0,23.6,,0.0,2.0,0.0,11.2,0.16,0.0,,118.0,,,0.183,0.506,0.171,,,,1.3,19.0,19.0,19.0,0.0,,,,,,,,0.63,,,,,70.0,0.0,,,,0.003,,,0.175,,0.005,0.0,,,44.0,,,,,1.32,,0.478,,,0.028,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,100.0,,62.0,,3.5,,0.0,0.082,0.0,0.001,0.0,,0.125,,0.037,,,,0.0,0.0,0.0,0.9,,168.0,,,,,,,,,,0.0,0.106,,,,,,,,,0.13,1.0,,,,,0.0,0.0,0.0,0.108,0.0,0.0,,,,0.02,0.0,,,0.3,,71.1,0.91
Gari,,,,,,,,,0.0,78.57,,,,0.0,,,,,339.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,0.0,1.79,,,,0.0,,,,,0.0,,,,,,,,,,,,
Sugar,,,,,,,,,,100.0,,,,,,,,,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,
Onions,,0.0,,,,,,0.0,17.0,8.46,,0.0,1.0,0.0,6.1,0.041,0.0,,38.0,,,0.013,0.017,0.042,,,,1.7,19.0,19.0,19.0,0.0,,,,,,,,0.24,,,,,4.0,0.0,,,,0.0,,,0.013,,0.0,0.0,,,9.0,,,,,0.116,,0.013,,,0.004,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,33.0,,171.0,,0.86,,0.0,0.027,0.0,0.0,0.004,,0.034,,0.004,,,,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,,0.0,0.046,,,,,,,,,5.8,0.08,,,,,0.0,0.0,0.0,0.12,8.2,0.0,,,,0.02,0.0,,,0.4,,90.3,0.17
Groundnuts,,,,,,,,,9.0,4.24,,,,28.0,,,,,102.0,,,,,0.88,0.0,,,0.7,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,12.01,,,,,,,,,,,,,,,,,,,201.0,,,,,,,,,,,,,,,,,,,,1.06,4.24,,,,,,,,,,,0.0,,,,,,,,,,
Fish--fresh,1.411,0.0,0.0,1.396,1.18,2.388,,0.0,8.0,0.0,0.0,0.0,0.0,38.0,65.0,0.086,0.0,0.25,602.0,,,1.6,1.433,1.257,,,,0.0,2.0,2.0,2.0,0.0,,,,3.482,1.12,0.687,,1.02,1.075,,1.896,0.0,0.0,0.0,2.142,,,0.162,,,0.924,,0.277,0.237,,,50.0,,0.015,0.69,0.0,8.654,,0.053,,,0.0,,,,0.039,,,,,0.043,,0.283,,0.125,0.89,1.054,0.911,254.0,,252.0,0.825,23.33,0.0,655.0,0.251,0.0,0.0,0.139,,0.81,,0.307,,,,0.0,0.0,0.0,36.5,0.952,39.0,,,,,,,,,,0.0,0.241,1.023,,,,,,,,0.0,4.9,0.261,0.787,1.202,2183.0,655.0,9.43,0.0,0.455,0.0,5.7,227.0,,5.7,1.0,0.0,,,0.0,0.0,68.09,0.6
Cassava (root),,0.0,,,,,,0.0,17.0,39.6,,0.0,13.0,2.0,24.9,0.104,0.0,,191.0,,,1.05,0.835,0.793,,,,1.9,24.0,24.0,24.0,0.0,,,,,,,,0.28,,,,,0.0,0.0,,,,0.015,,,1.01,,0.013,0.0,,,22.0,,,,,0.845,,0.731,,,0.105,,,,0.0,,,,,0.001,,0.0,,0.0,0.0,,,28.0,,282.0,,1.42,,12.0,0.048,0.018,0.023,0.069,,0.463,,0.152,,,,0.019,0.014,0.008,0.7,,145.0,,,,,,,,,,0.0,0.082,,,,,,,,,1.78,3.03,,,,,13.0,0.0,0.0,0.1,18.2,0.0,,,,0.61,0.0,,,4.2,,55.0,0.36
White beans,,,,,,,,,62.0,14.62,,,,0.0,,,,,85.0,,,,,0.0,0.0,,,4.6,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,,,,,,,,,,,,,,,,,,,292.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,
Pepper,,,,,,,,,437.0,66.67,,,,0.0,,,,,333.0,,,,,0.0,0.0,,,33.3,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,190.0,,,,,21.0,,,,,,,,,,,,
Bananas,0.222,0.0,0.0,0.176,3.02,0.503,,0.0,22.0,88.28,0.0,96.0,101.0,0.0,19.6,0.391,0.0,0.063,1448.0,,,0.153,0.337,0.698,,,,9.9,14.0,14.0,14.0,0.0,,,,0.399,0.19,0.333,,1.15,0.167,,0.359,0.0,84.0,0.0,0.162,,,0.045,,,0.102,,0.0,0.0,,,108.0,,0.574,0.074,0.0,2.8,,0.211,,,0.126,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.201,74.0,,1491.0,0.229,3.89,0.0,0.0,0.24,0.005,0.006,0.013,,0.473,,0.023,,,,0.0,0.0,0.001,3.9,0.226,3.0,,,,,,,,,,0.0,0.18,0.171,,,,,,,,47.3,1.81,,0.121,0.282,248.0,12.0,0.0,0.0,0.44,7.0,0.0,0.0,,,0.39,0.0,,,2.0,0.0,3.0,0.61
Cassava flour,,,,,,,,,57.0,88.57,,,,0.0,,,,,371.0,,,,,0.0,0.0,,,5.7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,
Tomatoes,,,,,,,,,,2.82,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.41,0.0,,,,704.0,,,,,8.5,,,,,,,,,,,,
Other vegetables (fresh or canned),,0.0,,,,,,0.0,8.0,5.74,,1.0,11.0,0.0,19.4,0.394,0.0,,39.0,,,0.002,0.175,0.061,,,,2.1,35.0,35.0,35.0,0.0,,,,,,,,0.28,,,,,18.0,0.0,,,,0.0,,,0.002,,0.0,0.0,,,12.0,,,,,4.0,,0.174,,,0.001,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,103.0,,420.0,,3.24,,0.0,0.465,0.0,0.0,0.0,,0.049,,0.011,,,,0.0,0.0,0.0,20.2,,7.0,,,,,,,,,,0.0,0.058,,,,,,,,,2.73,0.39,,,,,1.0,0.04,0.0,0.103,7.2,0.0,,,,0.03,0.0,,,0.4,,89.7,0.56
Rice--imported,1.153,0.0,0.0,1.458,1.03,,,0.0,4.0,0.1,0.0,0.0,0.0,55.0,,0.079,0.0,,537.0,,,1.541,0.228,1.528,0.082,0.082,0.0,0.0,,,,,,,,3.09,1.207,0.798,,2.27,0.921,,1.672,0.0,0.0,0.0,1.754,0.017,0.004,0.123,0.107,0.0,1.391,1.326,0.006,0.0,0.0,0.0,22.0,,0.008,0.729,0.0,3.955,,0.101,0.02,0.081,0.05,0.047,0.003,,0.0,0.002,0.01,0.002,0.008,0.024,0.024,0.015,,0.017,0.002,0.282,0.862,198.0,,338.0,0.711,22.16,0.0,8.0,0.072,0.002,0.002,0.075,,0.873,0.057,0.511,0.004,0.002,0.001,0.0,0.0,0.0,1.4,0.779,40.0,,,,,0.016,0.066,,0.0,,0.0,0.058,0.802,,,,,,,,0.0,4.36,0.232,0.746,0.978,25.0,8.0,1.65,0.0,0.367,0.0,0.3,11.0,,0.3,0.2,0.0,,,,0.0,72.35,2.93
Brown beans,,0.0,,,,,,0.0,53.0,24.3,,0.0,0.0,0.0,22.5,0.198,0.0,,162.0,,,1.81,1.72,0.652,,,,3.9,45.0,45.0,45.0,0.0,,,,,,,,2.23,,,,,0.0,0.0,,,,0.014,,,1.77,,0.028,0.0,,,51.0,,,,,0.917,,1.5,,,0.213,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,102.0,,345.0,,6.4,,0.0,0.037,0.002,0.001,0.004,,0.483,,0.123,,,,0.0,0.0,0.0,2.7,,213.0,,,,,,,,,,0.0,0.098,,,,,,,,,0.28,4.54,,,,,0.0,0.0,0.0,0.07,0.0,0.0,,,,1.35,0.0,,,6.0,,63.0,1.02
Okra,,,,,,,,,80.0,8.0,,,,0.0,,,,,44.0,,,,,0.0,,,,1.0,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,350.0,,,,,12.0,,,,,,,,,,,,
"Leaves (Cocoyam, Spinach, etc.)",0.705,,0.0,0.532,2.26,0.92,,,185.0,8.28,0.0,,,0.0,,0.105,,0.14,268.0,,,,,,0.0,,,2.0,40.0,40.0,40.0,0.0,,,,1.035,0.517,0.196,,4.0,0.451,,0.791,0.0,,,0.537,,,,,,,,,,,,42.0,,1.063,0.123,0.0,2.22,,,,,,,,,,,,,,,,,,,,0.125,0.487,112.0,,337.0,0.451,9.4,0.0,0.0,0.66,,,,,,,,,,,,,,0.9,0.414,9.0,,,,,,,,,,,0.257,0.411,,,,,,,,,1.4,0.144,0.347,0.611,7564.0,378.0,0.0,,1.2,51.7,0.0,0.0,,,,,,,,0.0,78.66,0.6
